age,gender,category,difficulty,noofquestions,correctcount,incorrectcount,noofattemptinquestionsinsublevel1,noofattemptinquestionsinsublevel2,noofattemptinquestionsinsublevel3,noofattemptinquestionsinsublevel4,noofcorrectquestionsinsublevel1,noofcorrectquestionsinsublevel2,noofcorrectquestionsinsublevel3,noofcorrectquestionsinsublevel4,avrgresponsetimeforsublevel1questions,avrgresponsetimeforsublevel2questions,avrgresponsetimeforsublevel3questions,avrgresponsetimeforsublevel4questions,quizmark,quizcompletationtime,readiness
9,male,multipication,advanced,15,1,14,4,1,3,4,3,1,0,2,67.77808837,19.15815166,88.49098339,117.6170436,1,14.55271047,0
11,male,addition,intermediate,15,3,12,0,5,4,5,0,3,2,5,0,16.15396298,13.98178828,18.67120489,6,13.96663547,0
12,female,division,intermediate,15,0,15,0,1,1,5,0,1,0,5,0,58.99858987,2.629205368,21.93642192,9,15.19314041,0
9,female,division,beginner,15,8,7,4,1,3,1,4,1,1,1,18.63675429,20.79752673,21.97557974,57.30310074,6,27.33084584,0
14,male,multipication,advanced,15,12,3,2,3,5,2,2,2,2,2,82.23782557,29.17521871,60.68223786,21.51729146,5,37.28856912,0
6,male,division,beginner,15,0,15,4,2,2,0,1,1,1,0,19.70253583,34.60627517,25.35573234,0,2,11.08199058,0
10,male,division,advanced,15,12,3,2,3,1,0,2,2,0,0,54.25637867,51.17033424,78.37676124,0,8,27.67793724,0
9,male,addition,beginner,15,7,8,4,4,3,3,1,4,1,1,2.914668247,9.426655695,11.71316532,24.0456012,7,12.27525747,0
13,male,addition,advanced,15,1,14,4,0,3,3,0,0,3,0,27.11151161,0,20.412558,6.003611895,4,27.49589615,0
3,female,multipication,intermediate,15,11,4,4,3,3,2,4,0,0,0,41.57164368,35.6422682,45.55686517,36.10942439,4,24.19347496,0
4,male,addition,intermediate,15,2,13,3,4,1,1,0,2,0,1,11.91897726,16.63997146,6.870202417,41.68007946,3,15.93782997,0
15,female,substraction,intermediate,15,0,15,0,3,2,2,0,3,1,2,0,15.54398249,8.910354569,30.0515546,4,13.2428656,0
6,female,substraction,intermediate,15,6,9,4,0,5,0,1,0,2,0,10.33847556,0,23.33385153,0,7,27.1148565,0
6,male,substraction,advanced,15,13,2,5,4,5,2,3,0,3,2,19.68120098,15.31413323,22.39178936,42.40200995,3,21.17808401,0
7,female,multipication,intermediate,15,1,14,3,1,5,3,3,1,5,0,27.47228972,5.869769094,36.9245292,44.50684971,5,29.37780905,0
13,male,addition,beginner,15,2,13,4,4,4,2,3,1,0,1,2.498257831,8.768008441,12.63336753,25.03809892,3,16.28013518,0
12,male,addition,beginner,15,12,3,0,2,4,0,0,2,3,0,0,8.839890177,12.44935831,0,6,16.83273284,0
13,female,division,intermediate,15,0,15,3,1,2,4,2,0,0,1,17.42266792,60.95099492,10.43565341,61.11966931,8,2.984987591,0
4,male,multipication,intermediate,15,14,1,4,0,2,0,2,0,0,0,12.41297642,0,52.26705759,0,3,1.21093869,0
15,female,division,beginner,15,13,2,2,5,0,1,0,1,0,1,5.980606969,17.25239309,0,12.7434335,1,18.15159629,0
8,female,addition,intermediate,15,2,13,1,3,4,4,0,1,3,0,3.882263451,9.652530158,27.22630289,19.43215765,6,4.486350957,0
9,female,addition,advanced,15,12,3,0,2,2,5,0,0,0,3,0,30.87808729,29.32055519,23.12263898,9,39.83934223,0
11,female,division,advanced,15,13,2,2,1,4,1,1,1,1,0,76.4542164,101.1489377,86.30250305,103.5426707,2,27.33218174,0
12,female,multipication,beginner,15,10,5,4,2,0,5,3,2,0,4,18.98839916,6.316283943,0,27.73904348,6,19.72822582,0
9,male,substraction,intermediate,15,15,0,2,5,1,0,2,5,0,0,7.006561829,10.27112149,34.91440188,0,7,12.08137904,0
12,female,addition,beginner,15,11,4,1,1,3,2,1,0,1,1,2.020460642,7.680983396,9.068923857,10.86862368,6,25.76322108,0
7,male,division,beginner,15,2,13,5,4,4,4,2,0,3,2,14.1236378,10.1718646,20.9791394,20.890485,7,14.88329063,0
13,male,multipication,advanced,15,5,10,0,4,0,3,0,2,0,2,0,70.54528737,0,49.41942404,2,7.791490093,0
10,female,multipication,beginner,15,6,9,2,0,1,2,0,0,0,0,16.06710798,0,28.23719059,18.64770679,5,28.66127406,0
10,female,addition,intermediate,15,9,6,4,2,0,5,0,2,0,1,12.78425603,18.91804502,0,25.87134775,3,26.56431391,0
12,male,addition,beginner,15,6,9,0,0,3,4,0,0,1,0,0,0,14.11592829,31.7716099,6,4.936657329,0
13,male,multipication,advanced,15,10,5,3,0,2,1,0,0,2,1,52.095712,0,131.2842851,95.19996786,7,32.41484493,0
5,male,substraction,advanced,15,15,0,4,3,4,1,4,3,3,0,19.31540687,37.28498124,28.32524665,18.53872674,3,17.98949407,0
11,male,division,beginner,15,1,14,3,0,3,3,2,0,2,2,17.26056863,0,20.36097664,39.08599517,0,9.662951189,0
12,male,substraction,intermediate,15,2,13,4,4,2,2,1,3,0,2,9.216624026,19.58707358,8.953245436,29.62798157,10,16.62704225,0
15,female,addition,intermediate,15,4,11,1,4,1,2,1,4,1,2,12.26067398,15.35453574,24.89063457,18.75271483,7,9.901789189,0
9,female,addition,intermediate,15,9,6,2,4,1,3,0,4,1,2,7.398324973,11.46260176,15.14553893,31.88223796,0,23.61576645,0
12,male,division,beginner,15,15,0,1,2,5,3,0,1,0,2,10.78605555,19.00089174,21.60912067,16.27670759,3,11.8822115,0
14,male,substraction,advanced,15,2,13,0,5,3,1,0,3,1,1,0,29.38256755,13.32504349,5.246148017,6,29.20967903,0
4,male,substraction,intermediate,15,4,11,0,0,4,4,0,0,0,1,0,0,22.05694065,17.40197294,3,24.1124491,0
15,male,substraction,advanced,15,6,9,2,1,2,5,1,1,0,0,6.977060239,49.77809237,16.66319122,30.91002089,1,34.153778,0
7,female,substraction,intermediate,15,9,6,5,0,0,5,4,0,0,3,8.4513328,0,0,16.95730483,7,12.7718841,0
15,male,substraction,intermediate,15,14,1,5,5,4,1,0,3,2,1,6.890025556,14.84942416,9.250098837,22.9347433,5,7.355451139,0
6,female,addition,beginner,15,8,7,1,3,2,3,0,1,1,0,2.600173648,6.972534651,18.64182424,13.20702675,9,3.189662416,0
8,male,multipication,advanced,15,5,10,3,1,2,5,0,0,0,4,91.07185164,3.340883684,23.66023166,78.84775107,8,10.74180024,0
15,female,substraction,advanced,15,3,12,2,4,5,5,1,0,2,1,21.81832046,23.45180184,30.38013949,29.29121223,9,31.33179236,0
6,female,division,beginner,15,7,8,2,3,2,3,1,0,1,0,20.89289347,21.33625098,31.16406857,23.63604863,8,10.65869339,0
5,male,addition,intermediate,15,5,10,2,5,3,3,0,4,3,0,5.4002679,7.063451705,13.4158628,21.28114644,7,19.90153271,0
15,male,multipication,intermediate,15,2,13,5,3,0,3,4,0,0,1,29.9033201,46.03236561,0,52.7527912,2,3.430132245,0
6,male,division,beginner,15,11,4,0,5,2,5,0,3,2,2,0,18.4584119,36.94708201,41.85181102,5,11.38849401,0
12,female,multipication,advanced,15,6,9,3,1,3,4,2,1,0,4,76.25706702,30.16924762,45.88956969,84.4118694,3,10.63189155,0
4,male,division,intermediate,15,13,2,2,5,2,4,0,4,0,2,45.21189673,43.32241096,44.37965453,33.30634802,1,8.052833331,0
14,female,addition,advanced,15,11,4,4,4,1,2,1,4,0,2,22.12120585,35.7628879,58.13288629,43.35263316,4,23.15019656,0
10,male,substraction,advanced,15,11,4,1,4,3,3,0,3,0,0,17.03434878,31.0530981,33.77131947,34.96395119,5,22.41189026,0
8,female,addition,intermediate,15,12,3,2,0,3,3,1,0,2,0,11.61841413,0,25.00243277,40.68751703,5,22.80150026,0
9,female,addition,beginner,15,3,12,1,4,1,1,0,2,0,0,4.576007472,5.481993795,24.17037482,1.144550433,10,10.0832621,0
8,female,addition,intermediate,15,11,4,2,3,0,2,2,3,0,1,9.13575283,17.76774316,0,15.07790103,3,22.41957091,0
5,male,division,intermediate,15,3,12,4,1,2,3,4,0,2,0,45.42904314,49.21561461,62.57010987,41.15657576,3,24.42410576,0
14,male,substraction,advanced,15,13,2,5,5,1,0,4,1,0,0,15.3165861,16.66946078,9.018129972,0,4,6.657875612,0
8,female,addition,advanced,15,15,0,2,2,0,0,0,2,0,0,17.81626288,25.23509029,0,0,5,26.43799853,0
10,female,substraction,advanced,15,3,12,0,0,5,1,0,0,5,1,0,0,39.27513241,22.74029739,6,29.34687888,0
10,male,addition,intermediate,15,15,0,2,0,3,4,1,0,1,4,9.861157271,0,11.70556301,18.53942991,9,2.269316724,0
12,male,division,beginner,15,6,9,4,2,5,3,1,0,3,2,14.68879355,31.41065453,33.80520246,22.97487174,8,22.14314516,0
6,female,division,intermediate,15,15,0,5,2,4,2,5,0,2,1,30.83306898,31.11624642,22.15900819,43.36005686,0,0.027590893,0
8,female,division,intermediate,15,3,12,4,3,5,3,1,2,4,2,15.14911125,43.13340322,27.61549452,70.58672476,9,29.42700226,0
3,male,division,intermediate,15,6,9,3,5,3,1,1,1,3,1,47.12802584,30.54466635,64.84675474,53.25254074,10,26.27813146,0
12,female,addition,beginner,15,9,6,3,0,2,3,0,0,0,3,3.180021111,0,17.27471789,31.30008204,9,26.35004074,0
8,female,multipication,advanced,15,3,12,0,0,4,0,0,0,4,0,0,0,89.79725087,0,1,8.955586275,0
9,male,addition,beginner,15,14,1,1,3,1,2,1,2,1,2,4.122255818,7.851004958,8.575184801,18.56403248,1,0.063004946,0
14,male,substraction,beginner,15,5,10,5,1,3,5,1,0,0,4,2.454808039,10.74761714,14.0455206,20.67884431,0,21.37826792,0
11,male,addition,intermediate,15,13,2,3,5,1,3,1,2,1,0,6.078404505,12.90123892,33.4142908,30.61559041,7,14.71290657,0
5,male,addition,beginner,15,12,3,3,0,0,2,1,0,0,1,1.823306887,0,0,34.78130879,7,5.523152269,0
13,male,division,advanced,15,8,7,0,1,0,2,0,0,0,1,0,104.6710471,0,90.15509073,1,32.05136221,0
14,male,substraction,beginner,15,10,5,3,3,5,4,2,1,5,1,2.3355748,6.403534642,11.62973061,25.66780299,1,24.38743694,0
10,female,substraction,beginner,15,4,11,2,0,3,4,2,0,1,3,2.26429843,0,17.73764415,22.37937232,2,29.80335556,0
3,female,addition,intermediate,15,1,14,3,4,3,5,3,1,1,4,8.997505266,17.33486813,11.64579944,31.69044229,10,14.50282012,0
6,male,substraction,intermediate,15,0,15,4,0,4,4,0,0,2,3,10.74348296,0,13.95708047,18.87984101,10,5.990723484,0
13,female,division,advanced,15,2,13,2,3,3,0,2,3,2,0,96.03402872,80.36354073,45.5374749,0,4,20.89786841,0
15,female,division,intermediate,15,2,13,1,5,1,3,0,5,1,1,12.74885382,47.01800367,29.36773312,62.22905659,1,21.92270428,0
13,female,multipication,beginner,15,4,11,5,4,0,1,0,1,0,0,20.79354806,19.49675815,0,6.089935941,2,2.645787832,0
3,female,multipication,advanced,15,14,1,2,1,0,3,2,0,0,0,42.06572935,24.60443897,0,20.31810762,2,27.73927998,0
8,male,addition,beginner,15,10,5,3,2,0,4,0,2,0,0,2.473065612,5.924732315,0,27.76452479,5,26.96561962,0
4,male,substraction,intermediate,15,7,8,5,1,5,4,1,1,5,4,8.569697468,2.288007462,16.18568968,30.624712,9,5.204563606,0
9,male,multipication,intermediate,15,0,15,2,3,3,4,2,3,1,3,46.2670171,40.60758216,29.5870358,32.82770309,5,13.8745534,0
12,female,multipication,intermediate,15,14,1,4,1,3,5,0,1,2,1,35.34998424,2.025070619,27.77259984,36.47544633,0,1.038720575,0
9,male,addition,advanced,15,7,8,4,5,0,5,0,0,0,4,19.83817778,31.98982952,0,39.02141195,4,37.54810258,0
6,female,division,advanced,15,5,10,0,5,1,0,0,1,0,0,0,86.57245361,42.92890479,0,2,11.37828079,0
14,male,substraction,beginner,15,3,12,5,4,2,4,5,1,2,2,2.695594791,11.35661299,9.162514899,15.23556105,6,23.70630769,0
14,female,substraction,beginner,15,14,1,0,5,0,0,0,4,0,0,0,8.685938334,0,0,2,5.770155259,0
7,male,substraction,intermediate,15,1,14,3,2,4,1,1,2,0,1,8.752460158,10.14539132,20.02047427,36.90093542,10,29.10685654,0
10,male,multipication,beginner,15,11,4,2,1,2,1,2,0,2,1,19.3987681,33.96644545,6.003377562,25.19587871,8,23.48120281,0
