quiz_time,quiz_score,piano_time,piano_key_count,drawing_time,drawing_similarity,gender,age,talent,quiz_efficiency,piano_efficiency,drawing_efficiency
855,2,375.661,79,817,98.5,M,5,Drawing,0.0023391812865497076,0.21029598494387228,0.12056303549571604
829,7,555.256,93,584,74.2,M,16,Quiz,0.008443908323281062,0.1674903107755702,0.12705479452054794
689,5,312.506,341,600,71.1,F,6,Drawing,0.00725689404934688,1.0911790493622524,0.1185
710,2,408.545,139,999,71.5,F,14,Drawing,0.0028169014084507044,0.3402317982107234,0.07157157157157157
752,5,419.404,208,1124,81.1,M,13,Quiz,0.006648936170212766,0.49594186035421695,0.07215302491103202
149,4,309.135,121,851,45.7,F,6,Quiz,0.026845637583892617,0.39141475407184567,0.053701527614571094
904,3,299.8,98,910,93.8,F,14,Drawing,0.00331858407079646,0.3268845897264843,0.10307692307692308
512,7,405.65,322,303,84.0,F,13,Piano,0.013671875,0.7937877480586714,0.27722772277227725
1202,4,416.206,97,1080,81.8,F,13,Drawing,0.0033277870216306157,0.2330576685583581,0.07574074074074073
316,2,472.454,148,428,62.2,M,14,Drawing,0.006329113924050633,0.3132580103036486,0.1453271028037383
841,3,335.37,371,965,62.4,F,13,Drawing,0.0035671819262782403,1.1062408682947193,0.06466321243523315
339,3,325.53,112,519,71.2,F,6,Drawing,0.008849557522123894,0.3440543114305901,0.1371868978805395
417,9,607.306,136,969,81.6,F,8,Quiz,0.02158273381294964,0.22393982605144686,0.08421052631578947
533,0,401.642,85,773,69.4,M,5,Drawing,0.0,0.21163125370354693,0.08978007761966365
998,6,499.901,346,710,80.6,M,12,Piano,0.006012024048096192,0.6921370431345406,0.11352112676056338
516,1,375.198,134,1035,52.4,M,11,Quiz,0.001937984496124031,0.35714476089957836,0.050628019323671496
275,0,478.285,371,820,42.9,M,9,Piano,0.0,0.7756881357349696,0.052317073170731705
456,5,513.516,314,878,63.9,M,6,Piano,0.010964912280701754,0.6114707234049183,0.07277904328018223
279,2,481.687,137,936,77.1,F,8,Piano,0.007168458781362007,0.28441705921064925,0.08237179487179487
644,4,381.714,245,1153,62.2,M,6,Piano,0.006211180124223602,0.6418417977857768,0.053946227233304424
941,10,727.011,267,418,87.5,F,14,Quiz,0.010626992561105207,0.3672571666728564,0.20933014354066987
901,4,497.488,56,394,54.5,M,9,Quiz,0.004439511653718091,0.11256552921879523,0.1383248730964467
214,5,326.843,318,414,36.2,F,5,Piano,0.02336448598130841,0.9729441964490596,0.08743961352657005
482,1,295.427,120,515,56.7,M,13,Piano,0.002074688796680498,0.4061917157199579,0.11009708737864078
758,10,692.504,407,481,96.5,M,10,Quiz,0.013192612137203167,0.5877222369834687,0.20062370062370063
811,9,418.783,409,771,82.2,M,7,Quiz,0.011097410604192354,0.9766394528908766,0.10661478599221791
